Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
33,FA0.15MA0.85PbI3,0.00,0.00,0.00,0.85,0.15,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.22,274.80,206.65,0.76,34.01,8.67,914.72,6.19,24.62,2.55,75.70,7.15,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
34,FA0.85MA0.15Pb(I0.85Br0.15)3,0.00,0.00,0.00,0.15,0.85,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.15,0.85,1.00,0.00,0.00,0.00,2.48,311.20,328.00,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.30,7.85,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.70,50.30,4.85
35,MAPbI3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
36,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,0.00,0.00,0.05,0.16,0.79,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.17,0.83,1.00,0.00,0.00,0.00,2.43,341.93,323.64,1.07,47.37,10.46,837.78,6.22,30.11,2.48,86.32,7.74,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
37,Cs0.07Rb0.03FA0.765MA0.135PbI2.55Br0.45,0.00,0.03,0.07,0.14,0.76,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.15,0.85,1.00,0.00,0.00,0.00,2.40,374.99,325.68,1.11,50.66,12.34,813.00,6.02,32.22,2.39,84.43,7.63,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.70,50.30,4.85
38,Cs0.05FA0.76MA0.19PbBr0.6I2.4,0.00,0.00,0.05,0.19,0.76,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.20,0.80,1.00,0.00,0.00,0.00,2.42,340.37,318.44,1.06,46.98,10.46,840.10,6.21,29.96,2.48,85.78,7.71,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.15,432.37,362.55,4.57,117.50,301.16,1034.70,7.27,19.67,2.72,49.40,4.80
39,MAPb(I0.87Br0.13)3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.13,0.87,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.17,441.17,371.00,4.69,120.79,299.11,1025.49,7.44,20.10,2.70,50.66,4.87
40,MAPb(I0.88Br0.12)3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.12,0.88,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.17,442.42,372.21,4.71,121.26,298.82,1024.18,7.46,20.16,2.70,50.84,4.88
41,Cs0.05MA0.15FA0.8Pb(I0.75Br0.25)3,0.00,0.00,0.05,0.15,0.80,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.25,0.75,1.00,0.00,0.00,0.00,2.44,342.45,325.37,1.08,47.50,10.46,837.01,6.22,30.16,2.48,86.50,7.75,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.14,426.09,356.51,4.48,115.15,302.63,1041.28,7.14,19.36,2.74,48.50,4.75
42,MAPb(I0.74Br0.26)3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.26,0.74,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.14,424.83,355.31,4.46,114.68,302.92,1042.59,7.12,19.29,2.74,48.32,4.74
43,Cs0.2FA0.8Pb(I0.75Br0.25)3,0.00,0.00,0.20,0.00,0.80,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.25,0.75,1.00,0.00,0.00,0.00,2.37,444.00,343.51,1.25,62.63,15.98,754.42,5.62,36.75,2.21,83.80,7.60,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.14,426.09,356.51,4.48,115.15,302.63,1041.28,7.14,19.36,2.74,48.50,4.75
44,MA0.85Cs0.15Pb(I0.85Br0.15)3,0.00,0.00,0.15,0.85,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.15,0.85,1.00,0.00,0.00,0.00,2.11,368.55,198.78,0.88,47.19,14.20,843.71,5.52,30.43,2.29,70.30,6.85,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.70,50.30,4.85
45,FA0.17Cs0.83PbI2.2Br0.8,0.00,0.00,0.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.27,0.73,1.00,0.00,0.00,0.00,1.87,837.75,310.46,1.74,117.97,39.22,456.18,2.84,61.15,1.09,61.12,6.34,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.14,423.99,354.50,4.45,114.37,303.11,1043.47,7.10,19.25,2.74,48.20,4.73
46,FA0.83Cs0.17Pb(I0.6Br0.4)3,0.00,0.00,0.17,0.00,0.83,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.40,0.60,1.00,0.00,0.00,0.00,2.40,425.25,345.08,1.23,59.99,14.87,768.62,5.75,35.59,2.27,84.88,7.66,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.10,407.24,338.40,4.21,108.10,307.02,1061.00,6.77,18.43,2.78,45.80,4.60
47,Rb0.05Cs0.095MA0.1425FA0.7125PbI2Br,0.00,0.05,0.09,0.14,0.71,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.33,0.67,1.00,0.00,0.00,0.00,2.36,403.36,322.51,1.14,53.61,14.04,793.71,5.83,33.98,2.31,82.40,7.53,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.12,415.62,346.45,4.33,111.24,305.07,1052.23,6.94,18.84,2.76,47.00,4.67
48,(FA0.83MA0.17)0.95Cs0.05Pb(I0.6Br0.4)3,0.00,0.00,0.05,0.16,0.79,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.40,0.60,1.00,0.00,0.00,0.00,2.43,342.14,323.65,1.07,47.39,10.47,838.79,6.23,30.13,2.48,86.37,7.75,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.10,407.24,338.40,4.21,108.10,307.02,1061.00,6.77,18.43,2.78,45.80,4.60
49,Cs0.17FA0.83Pb(I0.6Br0.4)3,0.00,0.00,0.17,0.00,0.83,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.40,0.60,1.00,0.00,0.00,0.00,2.40,425.25,345.08,1.23,59.99,14.87,768.62,5.75,35.59,2.27,84.88,7.66,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.10,407.24,338.40,4.21,108.10,307.02,1061.00,6.77,18.43,2.78,45.80,4.60
50,Cs0.12MA0.05FA0.83Pb(I0.6Br0.4)3,0.00,0.00,0.12,0.05,0.83,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.40,0.60,1.00,0.00,0.00,0.00,2.42,391.40,339.04,1.17,54.95,13.03,796.15,5.95,33.39,2.36,85.78,7.71,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.10,407.24,338.40,4.21,108.10,307.02,1061.00,6.77,18.43,2.78,45.80,4.60
