Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,PBE,HSE,Expt,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
44,MA0.85Cs0.15Pb(I0.85Br0.15)3,0,0,0.15,0.85,0,0,0,0,0,0,1,0,0.15,0.85,1,0,0,0,1,0,0,2.11,368.55,198.78,0.88,47.19,14.2,843.71,5.52,30.43,2.29,70.3,6.85,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
45,FA0.17Cs0.83PbI2.2Br0.8,0,0,0.83,0,0.17,0,0,0,0,0,1,0,0.27,0.73,1,0,0,0,1,0,0,1.87,837.75,310.46,1.74,117.97,39.22,456.18,2.84,61.15,1.09,61.12,6.34,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.14,423.99,354.5,4.45,114.37,303.11,1043.47,7.1,19.25,2.74,48.2,4.73
46,FA0.83Cs0.17Pb(I0.6Br0.4)3,0,0,0.17,0,0.83,0,0,0,0,0,1,0,0.4,0.6,1,0,0,0,1,0,0,2.4,425.25,345.08,1.23,59.99,14.87,768.62,5.75,35.59,2.27,84.88,7.66,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.1,407.24,338.4,4.21,108.1,307.02,1061,6.77,18.43,2.78,45.8,4.6
47,Rb0.05Cs0.095MA0.1425FA0.7125PbI2Br,0,0.05,0.09,0.14,0.71,0,0,0,0,0,1,0,0.33,0.67,1,0,0,0,1,0,0,2.36,403.36,322.51,1.14,53.61,14.04,793.71,5.83,33.98,2.31,82.4,7.53,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.12,415.62,346.45,4.33,111.24,305.07,1052.23,6.94,18.84,2.76,47,4.67
48,(FA0.83MA0.17)0.95Cs0.05Pb(I0.6Br0.4)3,0,0,0.05,0.16,0.79,0,0,0,0,0,1,0,0.4,0.6,1,0,0,0,1,0,0,2.43,342.14,323.65,1.07,47.39,10.47,838.79,6.23,30.13,2.48,86.37,7.75,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.1,407.24,338.4,4.21,108.1,307.02,1061,6.77,18.43,2.78,45.8,4.6
49,Cs0.17FA0.83Pb(I0.6Br0.4)3,0,0,0.17,0,0.83,0,0,0,0,0,1,0,0.4,0.6,1,0,0,0,1,0,0,2.4,425.25,345.08,1.23,59.99,14.87,768.62,5.75,35.59,2.27,84.88,7.66,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.1,407.24,338.4,4.21,108.1,307.02,1061,6.77,18.43,2.78,45.8,4.6
50,Cs0.12MA0.05FA0.83Pb(I0.6Br0.4)3,0,0,0.12,0.05,0.83,0,0,0,0,0,1,0,0.4,0.6,1,0,0,0,1,0,0,2.42,391.4,339.04,1.17,54.95,13.03,796.15,5.95,33.39,2.36,85.78,7.71,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.1,407.24,338.4,4.21,108.1,307.02,1061,6.77,18.43,2.78,45.8,4.6
51,FA0.17Cs0.83PbI1.8Br1.2,0,0,0.83,0,0.17,0,0,0,0,0,1,0,0.4,0.6,1,0,0,0,1,0,0,1.87,837.75,310.46,1.74,117.97,39.22,456.18,2.84,61.15,1.09,61.12,6.34,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.1,407.24,338.4,4.21,108.1,307.02,1061,6.77,18.43,2.78,45.8,4.6
52,MAPbBrI2,0,0,0,1,0,0,0,0,0,0,1,0,0.33,0.67,1,0,0,0,1,0,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.12,415.62,346.45,4.33,111.24,305.07,1052.23,6.94,18.84,2.76,47,4.67
53,FA0.6Cs0.4Pb(I0.65Br0.35)3,0,0,0.4,0,0.6,0,0,0,0,0,1,0,0.35,0.65,1,0,0,0,1,0,0,2.21,569,333.02,1.41,80.2,23.36,659.74,4.74,44.5,1.86,76.6,7.2,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.12,413.52,344.44,4.3,110.45,305.55,1054.42,6.89,18.74,2.76,46.7,4.65
